id,dateTime,mag,latitude,longitude,place
245,2010/02/22 23:29:30,3.0,33.29 N,127.17 E,제주 서귀포시 동쪽 61km 해역
246,2010/03/01 21:58:03,2.2,38.41 N,125.62 E,북한 황해남도 안악 남동쪽 15km 지역
247,2010/03/09 12:50:14,3.2,36.42 N,125.75 E,충남 태안군 서격렬비열도 남동쪽 28km 해역
248,2010/04/04 12:49:50,2.3,38.51 N,126.06 E,북한 황해북도 사리원 동쪽 26km 지역
249,2010/04/12 01:18:27,2.2,34.12 N,125.66 E,전남 신안군 흑산면 남남동쪽 61km 해역
250,2010/04/13 02:14:21,2.5,34.02 N,125.44 E,전남 신안군 흑산면 남쪽 70km 해역
251,2010/04/16 19:56:11,2.2,38.78 N,126.01 E,북한 황해북도 송림 동쪽 29km 지역
252,2010/04/27 19:29:16,2.3,36.8 N,128.75 E,경북 안동시 북쪽 26km 지역
253,2010/04/28 14:42:00,2.1,36.55 N,128.71 E,경북 안동시 남서쪽 3km 지역
254,2010/05/15 14:44:59,2.2,36 N,127.84 E,전북 무주군 동쪽 16km 지역
255,2010/05/26 15:22:16,2.4,37.6 N,129.68 E,강원 삼척시 동북동쪽 48km 해역
256,2010/06/11 13:02:08,2.1,38.78 N,126.07 E,북한 황해북도 송림 동쪽 38km 지역
257,2010/06/22 22:21:02,2.6,38.46 N,125.64 E,북한 황해북도 사리원 서남서쪽 12km 지역
258,2010/06/26 04:59:09,2.7,32.35 N,125.88 E,제주 서귀포시 이어도 동북동쪽 70km 해역
259,2010/06/28 12:19:00,2.1,38.75 N,126.03 E,북한 황해북도 송림 동쪽 34km 지역
260,2010/07/06 03:44:13,2.3,36.47 N,127.13 E,충남 공주시 북북동쪽 3km 지역
261,2010/07/27 18:32:41,2.2,36.34 N,127.26 E,충남 공주시 남동쪽 17km 지역
262,2010/08/24 03:59:44,2.5,38.71 N,125.9 E,북한 황해북도 송림 동쪽 23km 지역
263,2010/08/28 07:35:52,3.2,32.9 N,126.27 E,제주 제주시 고산 남남동쪽 45km 해역
264,2010/09/06 19:32:43,2.8,36.56 N,129.01 E,경북 청송군 북북서쪽 15km 지역
265,2010/09/30 02:07:36,2.5,33.41 N,127.34 E,제주 제주시 동남동쪽 67km 해역
